date,temperature,fahrenheit,humidity
2019-03-09 08:39:13.993,21.20,70.16,42.10
2019-03-09 08:39:10.992,21.20,70.16,43.60
2019-03-09 08:39:07.992,21.20,70.16,43.40
2019-03-09 08:39:04.990,21.20,70.16,43.30
2019-03-09 08:39:01.989,21.20,70.16,43.40
2019-03-09 08:38:58.989,21.20,70.16,43.50
2019-03-09 08:38:55.987,21.20,70.16,43.50
2019-03-09 08:38:52.984,21.20,70.16,43.30
2019-03-09 08:38:49.980,21.20,70.16,43.30
2019-03-09 08:38:46.978,21.20,70.16,42.00
2019-03-09 08:38:43.976,21.20,70.16,42.50
2019-03-09 08:38:40.975,21.20,70.16,42.50
2019-03-09 08:38:37.973,21.20,70.16,43.30
2019-03-09 08:38:34.973,21.20,70.16,43.40
2019-03-09 08:38:31.971,21.20,70.16,43.50
2019-03-09 08:38:28.968,21.20,70.16,43.50
2019-03-09 08:38:25.967,21.30,70.16,43.40
2019-03-09 08:38:22.964,21.20,70.16,43.40
2019-03-09 08:38:19.961,21.30,70.16,43.40
2019-03-09 08:38:16.960,21.30,70.16,42.10
2019-03-09 08:38:13.959,21.30,70.34,43.50
2019-03-09 08:38:10.958,21.20,70.34,43.60
2019-03-09 08:38:07.956,21.20,70.16,43.50
2019-03-09 08:38:04.952,21.30,70.16,43.50
2019-03-09 08:38:01.950,21.20,70.34,42.20
2019-03-09 08:37:58.948,21.20,70.16,42.00
2019-03-09 08:37:55.946,21.20,70.16,43.40
2019-03-09 08:37:52.946,21.20,70.34,43.70
2019-03-09 08:37:49.943,21.30,70.16,43.50
2019-03-09 08:37:46.940,21.20,70.34,43.60
2019-03-09 08:37:43.939,21.20,70.16,43.50
2019-03-09 08:37:40.938,21.20,70.16,43.40
2019-03-09 08:37:37.937,21.20,70.16,43.20
2019-03-09 08:37:34.935,21.20,70.34,43.60
2019-03-09 08:37:31.931,21.20,70.16,43.60
2019-03-09 08:37:28.930,21.30,70.16,43.30
2019-03-09 08:37:25.930,21.20,70.34,43.60
2019-03-09 08:37:22.929,21.20,70.16,43.50
2019-03-09 08:37:19.928,21.20,70.16,43.40
2019-03-09 08:37:16.927,21.20,70.16,43.40
2019-03-09 08:37:13.924,21.20,70.16,43.40
2019-03-09 08:37:10.922,21.20,70.16,43.50
2019-03-09 08:37:07.920,21.20,70.16,43.50
2019-03-09 08:37:04.919,21.20,70.16,43.20
2019-03-09 08:37:01.916,21.20,70.16,43.60
2019-03-09 08:36:58.915,21.20,70.16,43.50
2019-03-09 08:36:55.912,21.20,70.16,43.40
2019-03-09 08:36:52.910,21.20,70.16,43.50
2019-03-09 08:36:49.908,21.20,70.16,43.40
2019-03-09 08:36:46.905,21.20,70.16,43.50
2019-03-09 08:36:43.904,21.20,70.16,42.50
2019-03-09 08:36:40.902,21.20,70.16,42.10
2019-03-09 08:36:37.901,21.20,70.16,42.20
2019-03-09 08:36:34.900,21.20,70.16,43.70
2019-03-09 08:36:31.900,21.20,70.16,43.70
2019-03-09 08:36:28.900,21.20,70.16,43.00
2019-03-09 08:36:25.898,21.20,70.16,43.60
2019-03-09 08:36:22.896,21.20,70.16,42.10
2019-03-09 08:36:19.895,21.20,70.16,42.30
2019-03-09 08:36:16.893,21.20,70.16,43.80
2019-03-09 08:36:13.893,21.20,70.16,42.20
2019-03-09 08:36:10.890,21.20,70.16,42.10
2019-03-09 08:36:07.889,21.20,70.16,43.60
2019-03-09 08:36:04.888,21.20,70.16,43.50
2019-03-09 08:36:01.887,21.20,70.16,43.50
2019-03-09 08:35:58.886,21.20,70.16,43.50
2019-03-09 08:35:55.884,21.20,70.16,43.60
2019-03-09 08:35:52.883,21.20,70.16,43.60
2019-03-09 08:35:49.881,21.20,70.16,43.50
2019-03-09 08:35:46.879,21.20,70.16,42.20
2019-03-09 08:35:43.878,21.20,70.16,42.20
2019-03-09 08:35:40.876,21.20,70.16,43.50
2019-03-09 08:35:37.876,21.20,70.16,42.60
2019-03-09 08:35:34.875,21.20,70.16,43.50
2019-03-09 08:35:31.874,21.20,70.16,43.50
2019-03-09 08:35:28.872,21.20,70.16,43.50
2019-03-09 08:35:25.868,21.20,70.16,43.50
2019-03-09 08:35:22.866,21.20,70.16,43.50
2019-03-09 08:35:19.863,21.20,70.16,43.80
2019-03-09 08:35:16.859,21.20,70.16,43.60
2019-03-09 08:35:13.857,21.20,70.16,43.80
2019-03-09 08:35:10.857,21.20,70.16,43.70
2019-03-09 08:35:07.854,21.20,70.16,43.60
2019-03-09 08:35:04.850,21.20,70.16,43.80
2019-03-09 08:35:01.848,21.20,70.16,43.60
2019-03-09 08:34:58.845,21.20,70.16,43.60
2019-03-09 08:34:55.843,21.20,70.16,43.80
2019-03-09 08:34:52.842,21.20,70.16,43.60
2019-03-09 08:34:49.842,21.20,70.16,43.70
2019-03-09 08:34:46.839,21.20,70.16,43.60
2019-03-09 08:34:43.838,21.20,70.16,43.60
2019-03-09 08:34:40.837,21.20,70.16,43.60
2019-03-09 08:34:37.836,21.20,70.16,43.60
